RUN tag=full  R=200  scen=S1_jan+S2_jul+S4_miss+S3_nogp  chains=4 iter=1500 warmup=750
shard 0/3 handles 67 reps
[full] scen=S4_miss rep=40/200 done (927.0 min elapsed)
[full] scen=S4_miss rep=43/200 done (929.7 min elapsed)
[full] scen=S4_miss rep=46/200 done (932.4 min elapsed)
[full] scen=S4_miss rep=49/200 done (935.5 min elapsed)
[full] scen=S4_miss rep=52/200 done (938.1 min elapsed)
[full] scen=S4_miss rep=55/200 done (940.8 min elapsed)
[full] scen=S4_miss rep=58/200 done (943.5 min elapsed)
[full] scen=S4_miss rep=61/200 done (946.2 min elapsed)
[full] scen=S4_miss rep=64/200 done (949.7 min elapsed)
[full] scen=S4_miss rep=67/200 done (952.3 min elapsed)
[full] scen=S4_miss rep=70/200 done (955.0 min elapsed)
[full] scen=S4_miss rep=73/200 done (958.4 min elapsed)
[full] scen=S4_miss rep=76/200 done (961.3 min elapsed)
[full] scen=S4_miss rep=79/200 done (963.9 min elapsed)
[full] scen=S4_miss rep=82/200 done (967.0 min elapsed)
[full] scen=S4_miss rep=85/200 done (969.6 min elapsed)
[full] scen=S4_miss rep=88/200 done (972.2 min elapsed)
[full] scen=S4_miss rep=91/200 done (975.7 min elapsed)
[full] scen=S4_miss rep=94/200 done (978.3 min elapsed)
[full] scen=S4_miss rep=97/200 done (981.2 min elapsed)
[full] scen=S4_miss rep=100/200 done (983.7 min elapsed)
[full] scen=S4_miss rep=103/200 done (986.4 min elapsed)
[full] scen=S4_miss rep=106/200 done (989.0 min elapsed)
[full] scen=S4_miss rep=109/200 done (991.6 min elapsed)
[full] scen=S4_miss rep=112/200 done (994.2 min elapsed)
[full] scen=S4_miss rep=115/200 done (996.9 min elapsed)
[full] scen=S4_miss rep=118/200 done (999.9 min elapsed)
[full] scen=S4_miss rep=121/200 done (1002.5 min elapsed)
[full] scen=S4_miss rep=124/200 done (1005.3 min elapsed)
[full] scen=S4_miss rep=127/200 done (1007.9 min elapsed)
[full] scen=S4_miss rep=130/200 done (1010.6 min elapsed)
[full] scen=S4_miss rep=133/200 done (1013.4 min elapsed)
[full] scen=S4_miss rep=136/200 done (1016.3 min elapsed)
[full] scen=S4_miss rep=139/200 done (1018.9 min elapsed)
[full] scen=S4_miss rep=142/200 done (1022.3 min elapsed)
[full] scen=S4_miss rep=145/200 done (1025.0 min elapsed)
[full] scen=S4_miss rep=148/200 done (1027.6 min elapsed)
[full] scen=S4_miss rep=151/200 done (1030.4 min elapsed)
[full] scen=S4_miss rep=154/200 done (1033.0 min elapsed)
[full] scen=S4_miss rep=157/200 done (1035.8 min elapsed)
[full] scen=S4_miss rep=160/200 done (1038.4 min elapsed)
[full] scen=S4_miss rep=163/200 done (1041.0 min elapsed)
[full] scen=S4_miss rep=166/200 done (1043.6 min elapsed)
[full] scen=S4_miss rep=169/200 done (1046.3 min elapsed)
[full] scen=S4_miss rep=172/200 done (1048.9 min elapsed)
[full] scen=S4_miss rep=175/200 done (1051.4 min elapsed)
[full] scen=S4_miss rep=178/200 done (1054.0 min elapsed)
[full] scen=S4_miss rep=181/200 done (1056.7 min elapsed)
[full] scen=S4_miss rep=184/200 done (1059.3 min elapsed)
[full] scen=S4_miss rep=187/200 done (1061.9 min elapsed)
[full] scen=S4_miss rep=190/200 done (1064.6 min elapsed)
[full] scen=S4_miss rep=193/200 done (1067.2 min elapsed)
[full] scen=S4_miss rep=196/200 done (1069.7 min elapsed)
[full] scen=S4_miss rep=199/200 done (1072.4 min elapsed)
[full] scen=S3_nogp rep=1/200 done (1081.5 min elapsed)
[full] scen=S3_nogp rep=4/200 done (1090.6 min elapsed)
[full] scen=S3_nogp rep=7/200 done (1099.6 min elapsed)
[full] scen=S3_nogp rep=10/200 done (1107.9 min elapsed)
[full] scen=S3_nogp rep=13/200 done (1117.2 min elapsed)
[full] scen=S3_nogp rep=16/200 done (1126.9 min elapsed)
[full] scen=S3_nogp rep=19/200 done (1136.2 min elapsed)
[full] scen=S3_nogp rep=22/200 done (1145.4 min elapsed)
[full] scen=S3_nogp rep=25/200 done (1154.5 min elapsed)
[full] scen=S3_nogp rep=28/200 done (1165.0 min elapsed)
[full] scen=S3_nogp rep=31/200 done (1173.2 min elapsed)
[full] scen=S3_nogp rep=34/200 done (1259.0 min elapsed)
[full] scen=S3_nogp rep=37/200 done (1267.6 min elapsed)
[full] scen=S3_nogp rep=40/200 done (1275.8 min elapsed)
[full] scen=S3_nogp rep=43/200 done (1285.5 min elapsed)
[full] scen=S3_nogp rep=46/200 done (1294.9 min elapsed)
[full] scen=S3_nogp rep=49/200 done (1305.0 min elapsed)
[full] scen=S3_nogp rep=52/200 done (1313.4 min elapsed)
[full] scen=S3_nogp rep=55/200 done (1322.2 min elapsed)
Errore in gzfile(file, mode) : non è possibile aprire la connessione
Chiamate: saveRDS -> gzfile
In aggiunta: Ci sono 50 o più avvertimenti (utilizza warnings() per visualizzare i primi 50)
Esecuzione interrotta
